 | Id   | Map                                                                                                                                     | Difficulty | 
 | 168  | Lin-G - I Want You [4K HD]                                                                                                              | 46.02898   | 
 | 169  | Lin-G - I Want You [4K NM]                                                                                                              | 33.21862   | 
 | 172  | Lin-G - I Want You [7K RD]                                                                                                              | 57.99812   | 
 | 173  | Kuroma - Macrocosm Stage [Exhaust]                                                                                                      | 44.58283   | 
 | 174  | fripSide - future gazer (TV Size) [7K EX]                                                                                               | 57.70676   | 
 | 175  | fripSide - future gazer (TV Size) [7K HD]                                                                                               | 51.26071   | 
 | 176  | fripSide - future gazer (TV Size) [Filia's 4K MX]                                                                                       | 47.31779   | 
 | 177  | fripSide - future gazer (TV Size) [Rumi's 7K MX]                                                                                        | 59.78104   | 
 | 178  | fripSide - future gazer (TV Size) [S.Star's 4K NM]                                                                                      | 32.63655   | 
 | 179  | Van - Vanned Forever [Niconaver]                                                                                                        | 38.90007   | 
 | 180  | Kuroneko dungeon - Dragon and Girl and Decoherence [4K HYPER]                                                                           | 44.03191   | 
 | 181  | Kuroneko dungeon - Dragon and Girl and Decoherence [4K LeiN-]                                                                           | 48.97654   | 
 | 182  | Kuroneko dungeon - Dragon and Girl and Decoherence [4K NORMAL]                                                                          | 29.248     | 
 | 187  | Kuroneko dungeon - Dragon and Girl and Decoherence [7K [IIDX]]                                                                          | 60.66127   | 
 | 189  | beatMARIO - Night of Knights [vib control]                                                                                              | 32.60542   | 
 | 190  | REDALiCE - Kizuato [Easy]                                                                                                               | 21.48323   | 
 | 191  | REDALiCE - Kizuato [Hard]                                                                                                               | 49.11063   | 
 | 192  | REDALiCE - Kizuato [Maximum]                                                                                                            | 52.24399   | 
 | 193  | REDALiCE - Kizuato [Normal]                                                                                                             | 42.2313    | 
 | 195  | Masatoshi Ono - departure! (TV Size) [Hard]                                                                                             | 21.56232   | 
 | 196  | Masatoshi Ono - departure! (TV Size) [Insane]                                                                                           | 26.31446   | 
 | 203  | keeno - glow [4K Easy]                                                                                                                  | 4.642403   | 
 | 204  | keeno - glow [7K Hard]                                                                                                                  | 42.52676   | 
 | 205  | keeno - glow [7K Normal]                                                                                                                | 33.97431   | 
 | 206  | KOTOKO - WING OF ZERO [4K Normal]                                                                                                       | 32.62392   | 
 | 207  | KOTOKO - WING OF ZERO [7K Hard]                                                                                                         | 51.43531   | 
 | 208  | KOTOKO - WING OF ZERO [7K Insane]                                                                                                       | 57.48573   | 
 | 209  | KOTOKO - WING OF ZERO [7K Normal]                                                                                                       | 43.87064   | 
 | 210  | KOTOKO - WING OF ZERO [ecafree2's 4K MX]                                                                                                | 48.72785   | 
 | 211  | KOTOKO - WING OF ZERO [victorica's 4K MX]                                                                                               | 47.67947   | 
 | 213  | Darren Korb - Terminal March [Elvis' Insane]                                                                                            | 42.93052   | 
 | 214  | Darren Korb - Terminal March [Hard]                                                                                                     | 28.73783   | 
 | 215  | Darren Korb - Terminal March [Normal]                                                                                                   | 5.436903   | 
 | 216  | Darren Korb - Terminal March [[Shi-Ra]'s Hell March [HD]]                                                                               | 54.64452   | 
 | 217  | Darren Korb - Terminal March [[Shi-Ra]'s Light March [NM]]                                                                              | 45.86486   | 
